duration_s,active,3V7_WL_SW_A current(0),3V3_SYS_A current(1),1V8_SYS_A current(2),DDR_VDD2_A current(3),DDR_VDDQ_A current(4),1V1_SYS_A current(5),0V8_SW_A current(6),VDD_CORE_A current(7),3V3_DAC_A current(17),3V3_ADC_A current(18),0V8_AON_A current(16),HDMI_A current(22),3V7_WL_SW_V volt(8),3V3_SYS_V volt(9),1V8_SYS_V volt(10),DDR_VDD2_V volt(11),DDR_VDDQ_V volt(12),1V1_SYS_V volt(13),0V8_SW_V volt(14),VDD_CORE_V volt(15),3V3_DAC_V volt(20),3V3_ADC_V volt(21),0V8_AON_V volt(19),HDMI_V volt(23),EXT5V_V volt(24),BATT_V volt(25)
0.000000,0,0.000976,0.128823,0.240079,0.026350,0.000000,0.180547,0.312298,1.268060,0.000000,0.000061,0.002930,0.000000,3.737823,3.318385,1.815871,1.110622,0.601465,1.103296,0.799999,0.882954,3.321425,3.317762,0.801465,5.136220,5.090660,0.000000
0.050063,0,0.000000,0.129799,0.241055,0.005856,0.000000,0.180547,0.274236,0.732260,0.000000,0.000122,0.002930,0.000122,3.728543,3.318385,1.804638,1.113918,0.604029,1.110622,0.800365,0.882954,3.323257,3.318678,0.801171,5.128180,5.126840,0.000000
0.100055,0,0.002928,0.131751,0.240079,0.001952,0.000000,0.178595,0.274236,0.732260,0.000000,0.000000,0.002869,0.000000,3.714624,3.309105,1.813429,1.110255,0.614651,1.110988,0.801464,0.883760,3.321425,3.319594,0.802343,5.130860,5.122820,0.000000
0.150055,0,0.000000,0.131751,0.238127,0.003904,0.000000,0.178595,0.274236,0.562590,0.000000,0.000000,0.002930,0.000000,3.726687,3.313745,1.813429,1.110622,0.615018,1.110622,0.801464,0.772551,3.321425,3.318678,0.802051,5.121480,5.128180,0.000000
0.200055,0,0.000000,0.132726,0.241055,0.003904,0.000000,0.190306,0.273260,0.544730,0.000000,0.000244,0.002930,0.000000,3.741535,3.322097,1.800242,1.110622,0.613186,1.111354,0.801464,0.772551,3.321425,3.318678,0.801465,5.129520,5.122820,0.000000
0.250055,0,0.000976,0.135654,0.236175,0.011711,0.000000,0.180547,0.272284,0.535800,0.000000,0.000061,0.003175,0.000000,3.726687,3.319313,1.807080,1.108058,0.600366,1.110622,0.799267,0.752136,3.321425,3.319594,0.802637,5.134880,5.122820,0.000000
0.300056,0,0.000976,0.133702,0.239103,0.008783,0.000000,0.177619,0.276188,0.732260,0.000000,0.000122,0.003053,0.000000,3.710912,3.310033,1.813917,1.110622,0.606593,1.106592,0.799633,0.884566,3.321425,3.317762,0.801757,5.134880,5.125500,0.000000
0.352832,0,0.002928,0.130775,0.237151,0.006832,0.000000,0.179571,0.270333,1.500240,0.000000,0.000061,0.002930,0.000000,3.726687,3.327664,1.809034,1.110255,0.598900,1.104394,0.801464,0.883760,3.322341,3.316846,0.802051,5.133540,5.117460,0.000000
0.400062,0,0.000000,0.131751,0.234223,0.005856,0.000000,0.176643,0.275212,1.000160,0.000000,0.000000,0.002991,0.000000,3.734111,3.313745,1.805615,1.114285,0.600366,1.110255,0.799633,0.752942,3.324172,3.317762,0.802637,5.133540,5.130860,0.000000
0.450060,0,0.001952,0.131751,0.242031,0.005856,0.000000,0.182499,0.274236,0.830490,0.000000,0.000061,0.002930,0.000000,3.734111,3.310033,1.807080,1.110255,0.603662,1.108058,0.800732,0.883223,3.321425,3.318678,0.802051,5.133540,5.129520,0.000000
0.500054,0,0.000000,0.129799,0.239103,0.003904,0.000000,0.179571,0.269357,0.812630,0.000000,0.000122,0.002930,0.000000,3.718336,3.336944,1.800731,1.113552,0.615750,1.107691,0.800732,0.883491,3.323257,3.317762,0.802343,5.128180,5.124160,0.000000
0.550055,0,0.001952,0.132726,0.242031,0.003904,0.000000,0.179571,0.273260,0.803700,0.000000,0.000122,0.002869,0.000000,3.730399,3.310033,1.806592,1.110255,0.614651,1.109156,0.800732,0.883491,3.322341,3.316846,0.801757,5.133540,5.124160,0.000000
0.600054,0,0.000000,0.131751,0.242031,0.005856,0.000000,0.189330,0.275212,0.812630,0.000000,0.000122,0.002930,0.000000,3.718336,3.316529,1.800731,1.108058,0.614651,1.104394,0.798900,0.883760,3.321425,3.318678,0.801757,5.140240,5.129520,0.000000
0.650053,0,0.000000,0.131751,0.244958,0.004880,0.000000,0.178595,0.272284,0.821560,0.000000,0.000122,0.003114,0.000000,3.737823,3.310033,1.808057,1.112087,0.613919,1.110255,0.801098,0.883760,3.322341,3.317762,0.801757,5.125500,5.134880,0.000000
0.700059,0,0.001952,0.131751,0.242031,0.000976,0.000000,0.179571,0.272284,0.812630,0.000000,0.000000,0.002869,0.000000,3.741535,3.309105,1.809034,1.112820,0.614651,1.109523,0.798168,0.883491,3.322341,3.317762,0.802343,5.128180,5.132200,0.000000
0.750054,0,0.000976,0.130775,0.243007,0.004880,0.000000,0.178595,0.274236,0.803700,0.000000,0.000122,0.002930,0.000000,3.741535,3.311889,1.810987,1.112820,0.613919,1.111720,0.799999,0.883491,3.321425,3.317762,0.802051,5.128180,5.126840,0.000000
0.800053,0,0.000000,0.130775,0.243982,0.002928,0.000000,0.179571,0.271309,0.803700,0.000000,0.000183,0.003175,0.000000,3.725759,3.318385,1.807080,1.108058,0.611721,1.109523,0.799633,0.884297,3.321425,3.318678,0.802051,5.130860,5.122820,0.000000
0.850053,0,0.000000,0.136630,0.243007,0.006832,0.000000,0.178595,0.273260,0.812630,0.000000,0.000000,0.003175,0.000000,3.726687,3.310033,1.814406,1.112087,0.614651,1.107325,0.799633,0.883491,3.322341,3.316846,0.802343,5.122820,5.121480,0.000000
0.900054,0,0.000000,0.145414,0.243982,0.003904,0.000000,0.177619,0.275212,0.839420,0.000000,0.000000,0.002930,0.000000,3.716480,3.310033,1.814406,1.110255,0.615750,1.104394,0.800365,0.883223,3.322341,3.316846,0.802930,5.134880,5.129520,0.000000
0.950053,0,0.000000,0.127847,0.243982,0.004880,0.000000,0.179571,0.274236,0.812630,0.000000,0.000244,0.002991,0.000000,3.726687,3.310033,1.800731,1.107325,0.615750,1.107691,0.801464,0.883760,3.322341,3.318678,0.802343,5.132200,5.132200,0.000000
0.976196,0,0.001952,0.126871,0.242031,0.026350,0.000000,0.180547,0.287899,1.777070,0.000000,0.000061,0.002930,0.000000,3.719264,3.322097,1.806592,1.114651,0.613552,1.109889,0.799633,0.883491,3.323257,3.317762,0.802637,5.152300,5.138900,0.000000
